,Host,CID_Host,Guest,CID_Guest,pH,T,DeltaG,Erreur,K,logK,Reference,Original_Value,Drop
2908,beta-cyclodextrin,444041,O=C1C=CC2=CC(S(=O)(=O)O)=CC=C2C1=NNC1=CC=C([N+](=O)[O-])C=C1,,7.0,298.0,-16.47,,770,6.65,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2909,beta-cyclodextrin,444041,O=C1C=CC2=CC=CC=C2/C1=N/NC1=CC=C(S(=O)(=O)O)C=C1,,7.0,298.0,-9.07,,39,3.66,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2910,beta-cyclodextrin,444041,O=C1C=CC2=CC=CC=C2C1=NNC1=CC=C(S(=O)(=O)O)C=C1,,7.0,298.0,-16.27,,710,6.57,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2911,beta-cyclodextrin,444041,O=C1C=C/C(=N/NC2=CC=C(S(=O)(=O)O)C=C2)C2=CC=CC=C12,,7.0,298.0,-14.91,,410,6.02,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2912,beta-cyclodextrin,444041,COC(=O)C1=C2C=CC=CC2=CC2=CC=CC=C12,,7.0,298.0,-12.96,,187,5.23,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2913,beta-cyclodextrin,444041,O=S(=O)(O)C1=CC=CC2=CC=C(NC3=CC=CC=C3)C=C12,,7.0,298.0,-12.06,,130,4.87,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2914,beta-cyclodextrin,444041,O=S(=O)(O)C1=CC=C2C=C(NC3=CC=CC=C3)C=CC2=C1,,7.0,298.0,-18.93,,2080,7.64,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2915,beta-cyclodextrin,444041,CNC1=NC2=CC=C(Cl)C=C2C(C2=CC=CC=C2)=[N+]([O-])C1,,7.0,298.0,-7.77,,23,3.14,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2916,beta-cyclodextrin,444041,CCC1=CC=C(C(=O)C2=CC=C(C(=O)O)C=C2)C=C1,,7.0,298.0,-17.37,,1110,7.01,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2917,beta-cyclodextrin,444041,CCC1=CC=C(C(=O)C2=CC=CC(C(=O)O)=C2)C=C1,,7.0,298.0,-17.8,,1320,7.19,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2918,beta-cyclodextrin,444041,O=C(O)CCC(=O)C1=CC=C(C2=CC=CC=C2)C=C1,,7.4,298.0,-19.48,,2600,7.86,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2919,beta-cyclodextrin,444041,CCCCN1C(=O)C2=C3C(=CC=CC3=CC=C2)C1=O,,7.0,298.0,-15.63,,550,6.31,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2920,beta-cyclodextrin,444041,CCCCN1C(=O)C2=CC3=CC=CC=C3C=C2C1=O,,7.0,298.0,-18.83,,2000,7.6,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2921,beta-cyclodextrin,444041,CC(C)OC1=CC=C(C(=O)NS(=O)(=O)C2=CC=C(N)C=C2)C=C1,,7.0,298.0,-16.93,,930,6.84,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2922,beta-cyclodextrin,444041,CN(C)C1=CC=C2N=C3C=CC(=[N+](C)C)C=C3SC2=C1,,7.0,298.0,-16.88,,910,6.81,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2923,beta-cyclodextrin,444041,CCCN(CCC)[C@@H]1COC2=CC=CC(OC)=C2C1,,7.0,298.0,-10.6,,72,4.28,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2924,beta-cyclodextrin,444041,CCCN(CCC)[C@H]1COC2=CC=CC(OC)=C2C1,,7.0,298.0,-10.06,,58,4.06,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2925,beta-cyclodextrin,444041,CC1=CC=C(C2=CC(C(F)(F)F)=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1,,6.8,298.0,-16.8,,881,6.78,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2926,beta-cyclodextrin,444041,CC1=CC=C(C2=CC(C(F)(F)F)=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1,,7.0,298.0,-15.35,,490,6.19,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2927,beta-cyclodextrin,444041,CS(=O)(=O)C1=CC=C(C2=C(C3=CC=CC=C3)C(=O)OC2)C=C1,,7.2,298.0,-10.23,,62,4.13,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2928,beta-cyclodextrin,444041,CC1=CC=C(NC2=CC=C3C=C(S(=O)(=O)O)C=CC3=C2)C=C1,,5.2,298.0,-19.49,,2610,7.87,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2929,beta-cyclodextrin,444041,CC1=CC=C(NC2=CC=C3C=C(S(=O)(=O)O)C=CC3=C2)C=C1,,6.0,298.0,-19.3,,2420,7.79,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2930,beta-cyclodextrin,444041,COC1=CC=C(NC2=CC=C3C=C(S(=O)(=O)O)C=CC3=C2)C=C1,,7.0,298.0,-16.97,,945,6.85,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2931,beta-cyclodextrin,444041,CC(=O)ON[C@@H](CC1=CC=CC=C1)C(=O)OC1=CC=C([N+](=O)[O-])C=C1,,7.0,298.0,-13.81,,264,5.58,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2932,beta-cyclodextrin,444041,CC(=O)ON[C@H](CC1=CC=CC=C1)C(=O)OC1=CC=C([N+](=O)[O-])C=C1,,7.0,298.0,-15.56,,535,6.28,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2933,beta-cyclodextrin,444041,CN(C)C1=CC=C(C(=N)C2=CC=C(N(C)C)C=C2)C=C1,,7.2,298.0,-16.62,,819,6.71,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2934,beta-cyclodextrin,444041,C1=CC=C(C2(N3CCCCC3)CCCCC2)C=C1,,7.0,298.0,-17.17,,1024,6.93,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2935,beta-cyclodextrin,444041,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,,7.0,298.0,-20.15,,3400,8.13,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2936,beta-cyclodextrin,444041,COC(=O)C1=CC=C2C=CC3=CC=CC4=CC=C1C2=C34,,7.0,298.0,-8.74,,34,3.53,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2937,beta-cyclodextrin,444041,C1=CC=C(N2C3=CC=CC=C3SC3=CC=CC=C32)C=C1,,7.0,298.0,-11.98,,126,4.84,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2938,beta-cyclodextrin,444041,O=C(O[C@H](C(=O)O)[C@H](OC(=O)C1=CC=CC=C1)C(=O)O)C1=CC=CC=C1,,6.9,298.0,-8.59,,32,3.47,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2939,beta-cyclodextrin,444041,O=C(O[C@@H](C(=O)O)[C@@H](OC(=O)C1=CC=CC=C1)C(=O)O)C1=CC=CC=C1,,6.9,298.0,-7.42,,20,3.0,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2940,beta-cyclodextrin,444041,O=S(=O)(O)C1=CC=C(N=NC2=CC=C(NC3=CC=CC=C3)C=C2)C=C1,,7.0,298.0,-15.06,,437,6.08,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2941,beta-cyclodextrin,444041,O=S(=O)(O)C1=CC=C(N=NC2=CC=C(NC3=CC=CC=C3)C=C2)C=C1,,7.2,298.0,-21.35,,5530,8.62,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2942,beta-cyclodextrin,444041,CC(=O)ON[C@](C)(CC1=CC=CC=C1)C(=O)OC1=CC=CC([N+](=O)[O-])=C1,,7.0,298.0,-12.78,,174,5.16,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2943,beta-cyclodextrin,444041,CC(=O)ON[C@@](C)(CC1=CC=CC=C1)C(=O)OC1=CC=CC([N+](=O)[O-])=C1,,7.0,298.0,-13.0,,190,5.25,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2944,beta-cyclodextrin,444041,C=CCC1=CC=C(O)C(C2=CC(CC=C)=CC=C2O)=C1,,7.2,298.0,-21.18,,5170,8.55,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2945,beta-cyclodextrin,444041,C=CCC1=CC=C(O)C(C2=CC=C(O)C(CC=C)=C2)=C1,,7.2,298.0,-19.24,,2360,7.77,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2946,beta-cyclodextrin,444041,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O,,7.0,298.0,-8.81,,35,3.56,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2947,beta-cyclodextrin,444041,N[C@H](CC1=CC=CC=C1)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)O,,7.0,298.0,-9.38,,44,3.78,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2948,beta-cyclodextrin,444041,C[N+](C)(C)CCCCCC1=CC=C(Br)C2=CC=CC=C12,,7.0,298.0,-15.49,,520,6.25,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2949,beta-cyclodextrin,444041,CCCCCCC[N+]1=CC=C(C2=CC=[N+](C)C=C2)C=C1,,7.0,298.0,-15.08,,440,6.09,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2950,beta-cyclodextrin,444041,CCCCCCCCCCCC(=O)OC1=CC=C([N+](=O)[O-])C=C1,,7.0,298.0,-17.83,,1333,7.2,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2951,beta-cyclodextrin,444041,C1=CC=C(CN2C3=CC=CC=C3SC3=CC=CC=C32)C=C1,,7.0,298.0,-14.23,,312,5.74,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2952,beta-cyclodextrin,444041,CC(=O)C[C@@H](C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,,7.4,298.0,-15.6,,542,6.3,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2953,beta-cyclodextrin,444041,O=C1CCCC2=C1CC1=C(CCCC1=O)N2C1=CC=C(Cl)C=C1,,7.0,298.0,-15.69,,562,6.33,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2954,beta-cyclodextrin,444041,CCOC(=O)C1=CC=C(C2=C(O)C3=CC(CC)=C(OC)C=C3OC2=O)O1,,7.0,298.0,-16.23,,700,6.55,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2955,beta-cyclodextrin,444041,CCCCC1C(=O)N(C2=CC=CC=C2)N(C2=CC=CC=C2)C1=O,,7.5,298.0,-21.94,,7000,8.85,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2956,beta-cyclodextrin,444041,CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C21,,6.0,298.0,-24.28,,18040,9.8,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2957,beta-cyclodextrin,444041,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,,6.0,298.0,-24.1,,16770,9.73,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2958,beta-cyclodextrin,444041,COC1=CC2=NC(N3CCN(C(=O)C4=CC=CO4)CC3)=NC(N)=C2C=C1OC,,7.0,298.0,-8.4,,30,3.39,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2959,beta-cyclodextrin,444041,CN(C)CCC=C1C2=CC=CC=C2COC2=CC=CC=C12,,6.0,298.0,-23.51,,13210,9.49,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2960,beta-cyclodextrin,444041,CN(C)CCC=C1C2=CC=CC=C2COC2=CC=CC=C12,,7.0,298.0,-23.51,,13210,9.49,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2961,beta-cyclodextrin,444041,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](O)C1=CC=NC2=CC=CC=C12,,7.2,298.0,-11.6,,108,4.68,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2962,beta-cyclodextrin,444041,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C21,,6.0,298.0,-22.47,,8700,9.07,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2963,beta-cyclodextrin,444041,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C21,,7.0,298.0,-22.47,,8700,9.07,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2964,beta-cyclodextrin,444041,CN(C(C)(C)C1=CC=CC=C1)C(C)(C)C1=CC=CC=C1,,7.0,298.0,-6.2,,12,2.5,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2965,beta-cyclodextrin,444041,O=C1OC2(C3=CC=C(O)C=C3OC3=CC(O)=CC=C32)C2=CC=CC=C12,,7.0,298.0,-14.58,,360,5.89,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2966,beta-cyclodextrin,444041,O=C(O)C1=CC=CC=C1C1=C2C=CC(=O)C=C2OC2=CC(O)=CC=C12,,6.0,298.0,-6.09,,12,2.46,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2967,beta-cyclodextrin,444041,O=C(O)C1=CC=CC=C1C1=C2C=CC(=O)C=C2OC2=CC(O)=CC=C12,,7.0,298.0,-17.57,,1200,7.09,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2968,beta-cyclodextrin,444041,O=C1C=C/C(=N/NC2=CC=C(S(=O)(=O)O)C3=CC=CC=C23)C2=CC=CC=C12,,7.0,298.0,-19.4,,2519,7.83,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2969,beta-cyclodextrin,444041,C1=CC=C(CCN2C3=CC=CC=C3SC3=CC=CC=C32)C=C1,,7.0,298.0,-13.26,,211,5.35,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2970,beta-cyclodextrin,444041,CCC1=CC2=C(C=C1OC)OC(=O)C(C1=CC=C3OCCOC3=C1)=C2O,,7.0,298.0,-14.44,,340,5.83,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2971,beta-cyclodextrin,444041,CC1=CC=C(C(=O)O[C@H](C(=O)O)[C@H](OC(=O)C2=CC=C(C)C=C2)C(=O)O)C=C1,,6.9,298.0,-11.53,,105,4.65,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2972,beta-cyclodextrin,444041,CC1=CC=C(C(=O)O[C@@H](C(=O)O)[C@@H](OC(=O)C2=CC=C(C)C=C2)C(=O)O)C=C1,,6.9,298.0,-11.26,,94,4.54,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2973,beta-cyclodextrin,444041,CCN(CC)C1=COCC2=C1C=C1C=NC3=CC=CC=C3C1=C2N,,7.0,298.0,-18.7,,1900,7.55,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2974,beta-cyclodextrin,444041,CCN(CC)C1=COCC2=C1C=C1C=NC3=CC=CC=C3C1=C2N,,7.2,298.0,-17.57,,1200,7.09,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
